,group_id,group_name,startyear,endyear,active,complete,description,on_any_map,map_name,_merge,lat,long
0,1,The Islamic State,2002.0,0.0,1.0,1.0,"The Islamic State (IS) also known as the Islamic State of Iraq and Syria (ISIS) and The Islamic State in Iraq and the Levant (ISIL) is a Salafi militant organization whose goal is the establishment and expansion of a caliphate. IS has its origins in the early 2000s, when Abu Musab al-Zarqawi began training extremist militants. Zarqawis militants became a major participant in the Iraqi insurgency during the American occupation, first under the name Jamaat al-Tawhid waal-Jihad and then, after swearing fealty to Al Qaeda, as Al Qaeda in Iraq. Facing backlash from the community and increased security from U.S. and Iraqi forces, the group faced decline until 2011, when it began to grow through its involvement in the Syrian Civil War. In 2013, it changed its name to the Islamic State in Iraq and Syria (ISIS). Over the course of 2013 and 2014, it quickly took over territory in Syria and Iraq. In addition to its rapid expansion, ISIS has also drawn attention for its public beheadings of Western captives and its large contingent of foreign fighters. On the ground, IS has fought Syrian government forces, Syrian rebel groups, the Iraqi military and militias, and the Kurdish peshmerga. The U.S. began airstrikes against the group in fall 2014. ",1.0,Aleppo,matched (3),33.25171661376953,35.66961669921875
1,3,Mujahideen Army,2004.0,0.0,1.0,1.0,"The Mujahideen Army (MA) is a Sunni Iraqi militant organization that first gained international attention in late 2004. The group is vehemently anti-American and seeks to overthrow the Iraqi government, which it views as an American and Iranian puppet. The group was briefly a member of the Reformation and Jihad Front with Ansar al-Sunnah Sharia and the Islamic Army in Iraq from 2007 to 2008 and has been adamant in it opposition to IS since 2014. ",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
2,5,Islamic Army in Iraq,2003.0,0.0,1.0,1.0,"The Islamic Army in Iraq (IAI) is a Sunni Islamist militant organization created in 2003 with the aim of expelling foreign troops from Iraq.  From 2003-2011, the group primarily targeted U.S. forces in Iraq, although in 2006 and 2007, several clashes between IAI and Al Qaeda in Iraq (AQI) fighters were reported.  The group dissolved itself in 2011 following the U.S. withdrawal in Iraq and its members subsequently created a political activism group called Sunni Popular Movement. The IAI re-activated in December 2013 to fight against the Maliki government alongside many other Sunni insurgent groups.  Although it has worked with the Islamic State (IS) since its resurgence in 2013, an IAI spokesman indicated that the partnership is one of convenience and that it may soon dissolve.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
3,9,1920s Revolution Brigades,2003.0,0.0,1.0,1.0,"Founded in 2003, the 1920s Revolution Brigades (1920s RB) is a nationalist, Sunni organization whose main goal is to free Iraq of foreign occupation, particularly from American military and political presence. Once Iraq is free of outside influence, the 1920s RB aims to install an Iraqi government guided by Sunni Islamist principles.  Today, the organization maintains a strong stance against IS. However, the Political Office of the 1920s RB opposed the participation of Arab States in the coalition against IS because the coalition conducted air strikes on the Sunni areas of Iraq in 2014.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
4,11,Ansar al-Sunna Shariah,2007.0,0.0,1.0,1.0,Ansar al-Sunna Sharia (AS Shariah) is an Iraqi nationalist organization that calls upon all sectors of the Iraqi public to support the end of foreign occupation in Iraq and implement Sharia Law in the nation. The group is speculated to have split from Ansar al-Islam in 2007 over objections to Al Qaeda in Iraqs's targeted killings of civilians. AS Shariah is a member of both the Jihad and Reform Front and the Political Council of Iraqi Resistance.,1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
5,13,Ansar al-Islam,2001.0,2014.0,0.0,1.0,"Ansar al-Islam (AI) is a predominantly Kurdish Salafist militant organization based in Iraqi Kurdistan.  The group was formed in December 2001 by a merger of several other Kurdish Islamist groups.  AI had ties with Al Qaeda and fought against secular Kurdish groups as well as the U.S.-led coalition and the Iraqi government.  Since 2011, the group has also fought alongside Jabhat al-Nusra and the Islamic Front in Syria.  Although it had previously opposed the Islamic State (IS), AIs leadership announced that the group was disbanding and merging with IS in August 2014.  However, the Syrian branch of AI rejected the merger and has continued to operate in Syria as Ansar al-Islam, occasionally clashing with IS as well as the Assad government and other insurgent groups. ",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
6,19,Al Qaeda in the Arabian Peninsula,2009.0,0.0,1.0,1.0,"Al Qaeda in the Arabian Peninsula (AQAP) is a Sunni terrorist organization and Al Qaeda affiliate based in Yemen, a country whose geography and tribal social structure are often said to provide an environment friendly to terrorist and militant groups. It was created in 2009 from the merger of the Yemeni and Saudi Arabian branches of Al Qaeda. AQAP has claimed numerous attacks in the country but also targets Westerners abroad. The group is best known internationally for the underwear bomber who attempted to detonate a bomb on a Detroit-bound airplane in 2009, and for the 2015 Charlie Hebdo attacks in Paris, for which it claimed responsibility. In 2014, it created an offshoot organization called Ansar al-Sharia in Yemen in order to rebrand the AQ name in the country and attract more followers. In 2015, AQAP used the turmoil of the conflict in Yemen to seize territory in the southeast.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
7,21,Al Qaeda,1988.0,0.0,1.0,1.0,"Al Qaeda is one of the most powerful terrorist organizations in the world, with a long history and a global reach. It is composed of a core group of operatives and leadership, largely based in Pakistan and Afghanistan, and also maintains relationships with a number of global affiliate organizations. AQ and its affiliates have been responsible for many of the deadliest terrorist attacks in the past twenty-five years.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
8,23,Al Qaeda in Yemen,2000.0,2009.0,0.0,1.0,"Al Qaeda in Yemen (AQY) was the Yemeni affiliate of Al Qaeda, formed in 2000. AQY attacked the Yemeni government and Western targets in the country. In 2009, the group merged with its Saudi counterpart under the umbrella of Al Qaeda in the Arabian Peninsula (AQAP).",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
9,25,Islamic Movement of Kurdistan,1987.0,0.0,1.0,1.0,"The Islamic Movement of Kurdistan (IMK) is a Kurdish Islamist political organization that was founded in 1987 by Sheik Uthman Abdul Aziz with significant Iranian help. The group engaged in militant activities in the 1990s against other Kurdish groups and the Iraqi government. In addition to these militant activities, the IMK has also participated in Iraqi Kurdistans political process since 1992. In 2003, the IMK disarmed and began functioning solely as a political party. The majority of the Kurdish Islamist groups in existence today, most notably Ansar al-Islam, are splinters of the IMK.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
