group_id,group_name,page_url,old_description,description,last_updated,start_year,end_year,active,complete,on_any_map,first_attack,last_attack,init_size_members,init_size_year,min_size_members,min_size_year,max_size_members,max_size_year,founding_city,founding_province,founding_country,founding_notes,us_designated,un_designated,other_designated,other_designated_names,state_sponsor,state_sponsor_names,Notes
9,1920s Revolution Brigades,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/1920s-revolution-brigades,"Founded in 2003, the 1920s Revolution Brigades (1920s RB) is a nationalist, Sunni organization whose main goal is to free Iraq of foreign occupation, particularly from American military and political presence. Once Iraq is free of outside influence, the 1920s RB aims to install an Iraqi government guided by Sunni Islamist principles. Today, the organization maintains a strong stance against IS. However, the Political Office of the 1920s RB opposed the participation of Arab States in the coalition against IS because the coalition conducted air strikes on the Sunni areas of Iraq in 2014.","Founded in 2003, the 1920s Revolution Brigades (1920s RB) was a nationalist, Sunni organization whose main goal was to free Iraq of foreign occupation, particularly from American military and political presence.",02/00/2019,2003,0,1,1,1,10/00/2004,06/00/2014,2000,2007,NA,NA,NA,NA,Baghdad,,Iraq,first attack location,0,0,0,,0,,active throughout Iraq
152,Abu Sayyaf Group,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/abu-sayyaf-group,"The Abu Sayyaf Group (ASG) is an Islamic separatist organization in the Philippines founded by Abdurajak Abubakar Janjalani in 1991. Heavily influenced by Al Qaeda in its early stages, the ASG started as a splinter group of the Moro National Liberation Front (MNLF) and seeks an independent Muslim state in the southern Philippines. In the early 2000s, the ASG attracted attention through high-profile bombings, assassinations, kidnappings, and attacks. It is regarded as the most dangerous group in the Philippines.",The Abu Sayyaf Group (ASG) is an Islamic separatist organization operating in the southern Philippines.,02/00/2022,1991,0,1,1,1,04/04/1991,01/25/2022,200,2008,50,2021,500,2008,,Mindanao,Philippines,,1,1,1,"Philippines, Australia, New Zealand, Malaysia",1,Libya,also operates in the Filipino capital of Manila
109,Ahlu Sunna Wal Jama,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ahlu-sunna-wal-jama,"Ahlu Sunna Wal Jama (ASWJ) formed in 1991 to protect Sufi Muslims in Somalia. ASWJ was established in response to such groups as Al Ittihad Al Islamiya (AIAI), whose radical Islamist ideology violently opposed Sufism. The group was not a primarily militant organization prior to 2008, instead engaging in community religious affairs. ASWJ began fighting Al Shabaab in 2008 after that organization conducted several anti-Sufi attacks. ASWJ is loosely allied with Somalia¬¨√≠s Transitional Federal Government (TFG) and cooperates with it against Al Shabaab.",Ahlu Sunna Wal Jama (ASWJ) is a militant group formed in 1991 to protect Sufi Muslims in Somalia.,03/00/2019,1991,0,1,1,1,12/00/2008,02/10/2015,4500,2011,4500,2011,4500,2011,,Galguduud,Somalia,,0,0,0,,1,Somalia and Ethiopia,
523,Ahrar al-Sham,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ahrar-al-sham,"Ahrar al-Sham also known as Harakat Ahrar al-Sham al-Islamiyya, or the Islamic Movement of the Free Men of the Levant, is a Sunni Salafist militant group established in late 2011 that aims to replace the Assad Regime with an Islamic government. The group operates throughout Syria but concentrates its attacks in the north and west of the country. From its inception in 2011 until late 2013, Ahrar al-Sham cooperated with the Islamic State (IS), and launched a successful campaign to remove the Syrian army from Raqqa. However, Ahrar al-Sham and Hay'at Tahrir al-Sham, formerly known as Jabhat al-Nusra (Al-Nusra), began targeting IS after it killed an Ahrar al-Sham member in January 2014. From 2014 through 2015, Ahrar al-Sham strengthened its alliance with Al-Nusra by coordinating attacks against the Syrian army and by creating the Jaysh al-Fatah umbrella group to force the Syrian army out of Idlib province in 2015. In August 2015, Ahrar al-Sham also began negotiating ceasefire agreements with the Assad Regime on behalf of the Sunni militant groups in Idlib. However, it has not participated in further negotiations since it left a conference on a nation-wide ceasefire in December 2015.",Ahrar al-Sham is a Sunni Salafist militant group operating in northern Syria that was established in 2011 by amnestied Islamist prisoners in 2011. The group’s primary goal is to replace the Assad Regime with an Islamic government.,03/00/2022,2011,0,1,1,1,11/01/2012,05/21/2019,10000,2013,10000,2013,20000,2017,Idlib,,Syria,,0,0,0,,1,"Qatar, Saudi Arabia, Turkey",
111,Al Akhtar Trust,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-akhtar-trust,"Al Akhtar Trust is a charity linked to the Taliban and Al Qaeda, and is an offshoot of the jihadi organization, Jaish-e-Muhammed . It was created in 2000 as a front of the Al Rashid Trust, another charity linked with Al Qaeda, which was designated as terrorist support group by US Department of Treasury in 2001. Al Akhtar Trust has been active in raising funds for jihad in Pakistan, Afghanistan and Iraq. One of its financiers has been linked with the kidnapping and murder of the Wall Street Journal's South Asia Bureau Chief, Daniel Pearl. Al Akhtar Trust was designated as a terrorist support group by US Department of Treasury in 2003, and as of 2010, the United Nations, the Government of Pakistan, and Interpol also list Al Akhtar Trust as a terrorist-affiliated organization.","Al Akhtar Trust is a charity organization that has provided aid to various militant groups in Pakistan and Afghanistan, most notably Al Qaeda.",09/00/2020,2000,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Karachi,,Pakistan,,1,1,0,,0,,
99,Al Ittihad Al Islamiya,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-ittihad-al-islamiya,"Al Ittihad Al Islamiya (AIAI) formed in Somalia in 1984 with the goal of establishing an Islamic state in East Africa. In the late 1980s, AIAI began to focus on armed resistance against Somalia¬¨√≠s dictator, Siad Barre. AIAI mostly conducted attacks in Somalia, but after Barre¬¨√≠s overthrow in 1991, AIAI allied with the Ogaden National Liberation Front (ONLF), a separatist movement of ethnic Somalis living in Ethiopia¬¨√≠s Ogaden region, to refocus its energy on Ethiopia as its primary target. AIAI¬¨√≠s cooperation with the ONLF and attacks in Ethiopia provoked the Ethiopian government to invade Somalia in 1996 and destroy the AIAI. On January 4, 1997, AIAI announced its transition to a political party, signaling the organization¬¨√≠s effective end as a militant group. AIAI has sometimes been blamed for attacks after 1997, but these attacks were generally conducted by former AIAI members rather than a centralized organization.",Al Ittihad Al Islamiya was a Salafi militant organization that operated in Somalia between 1984 and 1997.,02/00/2019,1984,1997,0,1,1,01/00/1992,12/24/1996,2000,2003,2000,2003,2000,2003,Bosasso,,Somalia,,1,1,1,UK,1,Sudan,bad size estimates
613,Al Murabitoun,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-mourabitoun,"Al Murabitoun, also known as ¬¨√¨The Sentinels,¬¨√Æ was a Salafi-Jihadist militant organization that was formed in August 2013 by the merger of the Mouvement pour l¬¨√≠Unification et le Jihad en Afrique de l¬¨√≠Ouest (MUJAO) and the Those Who Sign in Blood Brigade. The group primarily operated in Mali and pledged allegiance to Al Qaeda (AQ), although the extent of its direct ties to AQ were unclear. ¬¨‚Ä†Al Murabitoun aimed to establish Shariah law in North Africa, as well as to unite Muslims and Islamic movements against secular influences and to attack westerners and western institutions in North Africa. In May 2015, the Emir of Al Murabitoun, Adnan Abu Walid al Sahrawi, swore the group¬¨√≠s loyalty to Islamic State (IS), but shortly after, Mokhtar Belmokhtar, a founder of Al Murabitoun, released statements that the group¬¨√≠s allegiance was with AQ not IS. The U.S. State Department called Al Murabitoun the greatest near-term threat to U.S. interests in North Africa in December 2013. On December 4, 2015 Abdelmalek Droukdel, the leader of AQIM, announced that Al Murabitoun would merge into Al Qaeda in the Islamic Maghreb. ¬¨‚Ä†",Al Mourabitoun was a Salafi-jihadist militant organization that operated in the African Sahel region.,06/00/2018,2013,2015,0,1,1,11/00/2013,01/18/2017,100,2014,,,,,Asongo,Gao,Mali,first attack location,1,1,1,"UAE, Canada, New Zealand, UK, Australia",0,,
21,Al Qaeda,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda,"Al Qaeda is one of the most powerful terrorist organizations in the world, with a long history and a global reach. It is composed of a core group of operatives and leadership, largely based in Pakistan and Afghanistan, and also maintains relationships with a number of global affiliate organizations. AQ and its affiliates have been responsible for many of the deadliest terrorist attacks in the past twenty-five years.",Al Qaeda (AQ) is a Salafi militant organization with leadership based in Afghanistan and Pakistan and a network of members and affiliates around the world.,01/00/2019,1988,0,1,1,1,08/07/1998,01/07/2015,75,1989,75,1989,"44,000",2018,,,Pakistan,,1,1,,,1,Iran,profile doesn't list any state designations besides US
19,Al Qaeda in the Arabian Peninsula,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-arabian-peninsula,"Al Qaeda in the Arabian Peninsula (AQAP) is a Sunni terrorist organization and Al Qaeda affiliate based in Yemen, a country whose geography and tribal social structure are often said to provide an environment friendly to terrorist and militant groups. It was created in 2009 from the merger of the Yemeni and Saudi Arabian branches of Al Qaeda. AQAP has claimed numerous attacks in the country but also targets Westerners abroad. The group is best known internationally for the ¬¨√¨underwear bomber¬¨√Æ who attempted to detonate a bomb on a Detroit-bound airplane in 2009, and for the 2015 Charlie Hebdo attacks in Paris, for which it claimed responsibility. In 2014, it created an offshoot organization called Ansar al-Sharia in Yemen in order to rebrand the AQ name in the country and attract more followers. In 2015, AQAP used the turmoil of the conflict in Yemen to seize territory in the southeast.",Al Qaeda in the Arabian Peninsula (AQAP) is a Sunni terrorist organization and Al Qaeda (AQ) affiliate based in Yemen.,08/00/2018,2009,0,1,1,1,03/15/2009,02/11/2020,300,2010,100,2010,3000,2017,Shibam,,Yemen,first attack location,1,0,1,"Saudi Arabia, United Arab Emirates",1,Yemen,
615,Al Qaeda in the Indian Subcontinent,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-indian-subcontinent-aqis,"Al Qaeda in the Indian Subcontinent (AQIS) is an Al Qaeda-affiliated terrorist organization founded on September 3, 2014 by Al Qaeda (AQ) leader Aymenn al-Zawahiri. The group is based in Pakistan but has pledged to also carry out operations in Afghanistan, India, Bangladesh and Myanmar. In contrast to AQ leaders¬¨√≠ expectations, AQIS has been largely unsuccessful in carrying out large-scale attacks and has not attracted a significant following outside of Pakistan.","AQIS is an Al-Qaeda affiliated terrorist organization based in Pakistan and operating in Afghanistan, India, Bangladesh, and Myanmar.",07/00/2018,2014,0,1,1,1,09/06/2014,01/08/2017,NA,NA,NA,NA,NA,NA,,,Pakistan,,1,0,1,Australia,0,,
65,Al Qaeda in the Islamic Maghreb,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/aqim,"AQIM, originally known as the Salafist Group for Preaching and Combat (GSPC), split from the Armed Islamic Group (GIA), the main Islamist group fighting in the Algerian Civil War, in 1998. In 2006, the GSPC became a formal affiliate of Al Qaeda (AQ) and changed its name to Al Qaeda in the Islamic Maghreb (AQIM). The group is famous for kidnapping westerners for ransom in North Africa and is an active participant in the drug, arms and human trafficking trade in the region. Through these pursuits, AQIM has become one of the wealthiest terrorist organizations in the world.",Al Qaeda in the Islamic Maghreb (AQIM) is an Algerian Salafi-Jihadist militant organization operating in the African Sahel region.,07/00/2018,1998,0,1,1,1,04/00/2003,06/30/2018,200,2002,200,2002,1000,2015,,Kabylie,Algeria,,1,1,1,"Canada, New Zealand, Australia, and the United Kingdom",0,,
23,Al Qaeda in Yemen,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-yemen,"Al Qaeda in Yemen (AQY) was the Yemeni affiliate of Al Qaeda, formed in 2000. AQY attacked the Yemeni government and Western targets in the country. In 2009, the group merged with its Saudi counterpart under the umbrella of Al Qaeda in the Arabian Peninsula (AQAP).","Al Qaeda in Yemen (AQY) was the Yemeni affiliate of Al Qaeda, formed in 2000.",07/00/2015,2000,2009,0,1,1,10/12/2000,03/15/2009,200,2008,,,500,2009,,,Yemen,,0,0,0,,0,,
