"group_id","group_name","start_year","end_year","active","complete","description","on_any_map","page_url","old_description","last_updated","first_attack","last_attack","init_size_members","init_size_year","min_size_members","min_size_year","max_size_members","max_size_year","founding_city","founding_province","founding_country","founding_notes","us_designated","un_designated","other_designated","other_designated_names","state_sponsor","state_sponsor_names","Notes"
1,"The Islamic State",2002,0,1,1,"The Islamic State (IS) also known as the Islamic State of Iraq and Syria (ISIS) and The Islamic State in Iraq and the Levant (ISIL) is a Salafi militant organization whose goal is the establishment and expansion of a caliphate. IS has its origins in the early 2000s, when Abu Musab al-Zarqawi began training extremist militants. Zarqawis militants became a major participant in the Iraqi insurgency during the American occupation, first under the name Jamaat al-Tawhid waal-Jihad and then, after swearing fealty to Al Qaeda, as Al Qaeda in Iraq. Facing backlash from the community and increased security from U.S. and Iraqi forces, the group faced decline until 2011, when it began to grow through its involvement in the Syrian Civil War. In 2013, it changed its name to the Islamic State in Iraq and Syria (ISIS). Over the course of 2013 and 2014, it quickly took over territory in Syria and Iraq. In addition to its rapid expansion, ISIS has also drawn attention for its public beheadings of Western captives and its large contingent of foreign fighters. On the ground, IS has fought Syrian government forces, Syrian rebel groups, the Iraqi military and militias, and the Kurdish peshmerga. The U.S. began airstrikes against the group in fall 2014. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state","The Islamic State (IS) also known as the Islamic State of Iraq and Syria (ISIS) and The Islamic State in Iraq and the Levant (ISIL) is a Salafi militant organization whose goal is the establishment and expansion of a caliphate. IS has its origins in the early 2000s, when Abu Musab al-Zarqawi began training extremist militants. Zarqawi¬¨√≠s militants became a major participant in the Iraqi insurgency during the American occupation, first under the name Jama¬¨√≠at al-Tawhid wa¬¨√≠al-Jihad and then, after swearing fealty to Al Qaeda, as Al Qaeda in Iraq. Facing backlash from the community and increased security from U.S. and Iraqi forces, the group faced decline until 2011, when it began to grow through its involvement in the Syrian Civil War. In 2013, it changed its name to the Islamic State in Iraq and Syria (ISIS). Over the course of 2013 and 2014, it quickly took over territory in Syria and Iraq. In addition to its rapid expansion, ISIS has also drawn attention for its public beheadings of Western captives and its large contingent of foreign fighters. On the ground, IS has fought Syrian government forces, Syrian rebel groups, the Iraqi military and militias, and the Kurdish peshmerga. The U.S. began airstrikes against the group in fall 2014.","04/00/2021","10/28/2002","03/24/2021","2000","2001","200",2004,"31,500",2014,"Herat","","Afghanistan","",1,1,0,"",1,"Iran",""
3,"Mujahideen Army",2004,0,1,1,"The Mujahideen Army (MA) is a Sunni Iraqi militant organization that first gained international attention in late 2004. The group is vehemently anti-American and seeks to overthrow the Iraqi government, which it views as an American and Iranian puppet. The group was briefly a member of the Reformation and Jihad Front with Ansar al-Sunnah Sharia and the Islamic Army in Iraq from 2007 to 2008 and has been adamant in it opposition to IS since 2014. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/mujahideen-army","The Mujahideen Army (MA) is a Sunni Iraqi militant organization that first gained international attention in late 2004. The group is vehemently anti-American and seeks to overthrow the Iraqi government, which it views as an American and Iranian puppet. The group was briefly a member of the Reformation and Jihad Front with Ansar al-Sunnah Sharia and the Islamic Army in Iraq from 2007 to 2008 and has been adamant in it opposition to IS since 2014.","10/00/2017","11/00/2004","08/00/2014",NA,NA,NA,NA,NA,NA,"Baghdad","","Iraq","first attack location",0,0,0,"",0,"",""
5,"Islamic Army in Iraq",2003,0,1,1,"The Islamic Army in Iraq (IAI) is a Sunni Islamist militant organization created in 2003 with the aim of expelling foreign troops from Iraq.  From 2003-2011, the group primarily targeted U.S. forces in Iraq, although in 2006 and 2007, several clashes between IAI and Al Qaeda in Iraq (AQI) fighters were reported.  The group dissolved itself in 2011 following the U.S. withdrawal in Iraq and its members subsequently created a political activism group called Sunni Popular Movement. The IAI re-activated in December 2013 to fight against the Maliki government alongside many other Sunni insurgent groups.  Although it has worked with the Islamic State (IS) since its resurgence in 2013, an IAI spokesman indicated that the partnership is one of convenience and that it may soon dissolve.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-army-iraq","The Islamic Army in Iraq (IAI) is a Sunni Islamist militant organization created in 2003 with the aim of expelling foreign troops from Iraq. From 2003-2011, the group primarily targeted U.S. forces in Iraq, although in 2006 and 2007, several clashes between IAI and Al Qaeda in Iraq (AQI) fighters were reported. The group dissolved itself in 2011 following the U.S. withdrawal in Iraq and its members subsequently created a political activism group called Sunni Popular Movement. The IAI re-activated in December 2013 to fight against the Maliki government alongside many other Sunni insurgent groups. Although it has worked with the Islamic State (IS) since its resurgence in 2013, an IAI spokesman indicated that the partnership is one of convenience and that it may soon dissolve.","03/00/2019","08/00/2004","06/10/2014","10,400","2007",NA,NA,NA,NA,"Baghdad","","Iraq","first attack location",0,0,0,"",0,"","first attack location says ""in the area between Baghdad and Najaf""; I coded Baghdad as the founding city b/c it's the larger of the two cities"
9,"1920s Revolution Brigades",2003,0,1,1,"Founded in 2003, the 1920s Revolution Brigades (1920s RB) is a nationalist, Sunni organization whose main goal is to free Iraq of foreign occupation, particularly from American military and political presence. Once Iraq is free of outside influence, the 1920s RB aims to install an Iraqi government guided by Sunni Islamist principles.  Today, the organization maintains a strong stance against IS. However, the Political Office of the 1920s RB opposed the participation of Arab States in the coalition against IS because the coalition conducted air strikes on the Sunni areas of Iraq in 2014.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/1920s-revolution-brigades","Founded in 2003, the 1920s Revolution Brigades (1920s RB) is a nationalist, Sunni organization whose main goal is to free Iraq of foreign occupation, particularly from American military and political presence. Once Iraq is free of outside influence, the 1920s RB aims to install an Iraqi government guided by Sunni Islamist principles. Today, the organization maintains a strong stance against IS. However, the Political Office of the 1920s RB opposed the participation of Arab States in the coalition against IS because the coalition conducted air strikes on the Sunni areas of Iraq in 2014.","02/00/2019","10/00/2004","06/00/2014","2000","2007",NA,NA,NA,NA,"Baghdad","","Iraq","first attack location",0,0,0,"",0,"","active throughout Iraq"
11,"Ansar al-Sunna Shariah",2007,0,1,1,"Ansar al-Sunna Sharia (AS Shariah) is an Iraqi nationalist organization that calls upon all sectors of the Iraqi public to support the end of foreign occupation in Iraq and implement Sharia Law in the nation. The group is speculated to have split from Ansar al-Islam in 2007 over objections to Al Qaeda in Iraqs's targeted killings of civilians. AS Shariah is a member of both the Jihad and Reform Front and the Political Council of Iraqi Resistance.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/shariah-committee-ansar-al-sunnah","Ansar al-Sunna Sharia (AS Shariah) is an Iraqi nationalist organization that calls upon all sectors of the Iraqi public to support the end of foreign occupation in Iraq and implement Sharia Law in the nation. The group is speculated to have split from Ansar al-Islam in 2007 over objections to Al Qaeda in Iraqs's targeted killings of civilians. AS Shariah is a member of both the Jihad and Reform Front and the Political Council of Iraqi Resistance.","03/00/2019",NA,"00/00/2009",NA,NA,NA,NA,NA,NA,"","","","",1,0,0,"",0,"",""
13,"Ansar al-Islam",2001,2014,0,1,"Ansar al-Islam (AI) is a predominantly Kurdish Salafist militant organization based in Iraqi Kurdistan.  The group was formed in December 2001 by a merger of several other Kurdish Islamist groups.  AI had ties with Al Qaeda and fought against secular Kurdish groups as well as the U.S.-led coalition and the Iraqi government.  Since 2011, the group has also fought alongside Jabhat al-Nusra and the Islamic Front in Syria.  Although it had previously opposed the Islamic State (IS), AIs leadership announced that the group was disbanding and merging with IS in August 2014.  However, the Syrian branch of AI rejected the merger and has continued to operate in Syria as Ansar al-Islam, occasionally clashing with IS as well as the Assad government and other insurgent groups. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-islam","Ansar al-Islam (AI) is a predominantly Kurdish Salafist militant organization based in Iraqi Kurdistan. The group was formed in December 2001 by a merger of several other Kurdish Islamist groups. AI had ties with Al Qaeda and fought against secular Kurdish groups as well as the U.S.-led coalition and the Iraqi government. Since 2011, the group has also fought alongside Jabhat al-Nusra and the Islamic Front in Syria. Although it had previously opposed the Islamic State (IS), AI¬¨√≠s leadership announced that the group was disbanding and merging with IS in August 2014. However, the Syrian branch of AI rejected the merger and has continued to operate in Syria as Ansar al-Islam, occasionally clashing with IS as well as the Assad government and other insurgent groups.","12/00/2018","00/00/2002","04/21/2014","350","2001","350",2001,"1000",2009,"Sulaymaniyah","","Iraq","first attack location",1,1,1,"Australia, New Zealand, Canada, and the EU",1,"Iraq, Iran",""
19,"Al Qaeda in the Arabian Peninsula",2009,0,1,1,"Al Qaeda in the Arabian Peninsula (AQAP) is a Sunni terrorist organization and Al Qaeda affiliate based in Yemen, a country whose geography and tribal social structure are often said to provide an environment friendly to terrorist and militant groups. It was created in 2009 from the merger of the Yemeni and Saudi Arabian branches of Al Qaeda. AQAP has claimed numerous attacks in the country but also targets Westerners abroad. The group is best known internationally for the underwear bomber who attempted to detonate a bomb on a Detroit-bound airplane in 2009, and for the 2015 Charlie Hebdo attacks in Paris, for which it claimed responsibility. In 2014, it created an offshoot organization called Ansar al-Sharia in Yemen in order to rebrand the AQ name in the country and attract more followers. In 2015, AQAP used the turmoil of the conflict in Yemen to seize territory in the southeast.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-arabian-peninsula","Al Qaeda in the Arabian Peninsula (AQAP) is a Sunni terrorist organization and Al Qaeda affiliate based in Yemen, a country whose geography and tribal social structure are often said to provide an environment friendly to terrorist and militant groups. It was created in 2009 from the merger of the Yemeni and Saudi Arabian branches of Al Qaeda. AQAP has claimed numerous attacks in the country but also targets Westerners abroad. The group is best known internationally for the ¬¨√¨underwear bomber¬¨√Æ who attempted to detonate a bomb on a Detroit-bound airplane in 2009, and for the 2015 Charlie Hebdo attacks in Paris, for which it claimed responsibility. In 2014, it created an offshoot organization called Ansar al-Sharia in Yemen in order to rebrand the AQ name in the country and attract more followers. In 2015, AQAP used the turmoil of the conflict in Yemen to seize territory in the southeast.","08/00/2018","03/15/2009","02/11/2020","300","2010","100",2010,"3000",2017,"Shibam","","Yemen","first attack location",1,0,1,"Saudi Arabia, United Arab Emirates",1,"Yemen",""
21,"Al Qaeda",1988,0,1,1,"Al Qaeda is one of the most powerful terrorist organizations in the world, with a long history and a global reach. It is composed of a core group of operatives and leadership, largely based in Pakistan and Afghanistan, and also maintains relationships with a number of global affiliate organizations. AQ and its affiliates have been responsible for many of the deadliest terrorist attacks in the past twenty-five years.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda","Al Qaeda is one of the most powerful terrorist organizations in the world, with a long history and a global reach. It is composed of a core group of operatives and leadership, largely based in Pakistan and Afghanistan, and also maintains relationships with a number of global affiliate organizations. AQ and its affiliates have been responsible for many of the deadliest terrorist attacks in the past twenty-five years.","01/00/2019","08/07/1998","01/07/2015","75","1989","75",1989,"44,000",2018,"","","Pakistan","",1,1,NA,"",1,"Iran","profile doesn't list any state designations besides US"
23,"Al Qaeda in Yemen",2000,2009,0,1,"Al Qaeda in Yemen (AQY) was the Yemeni affiliate of Al Qaeda, formed in 2000. AQY attacked the Yemeni government and Western targets in the country. In 2009, the group merged with its Saudi counterpart under the umbrella of Al Qaeda in the Arabian Peninsula (AQAP).",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-yemen","Al Qaeda in Yemen (AQY) was the Yemeni affiliate of Al Qaeda, formed in 2000. AQY attacked the Yemeni government and Western targets in the country. In 2009, the group merged with its Saudi counterpart under the umbrella of Al Qaeda in the Arabian Peninsula (AQAP).","07/00/2015","10/12/2000","03/15/2009","200","2008","",NA,"500",2009,"","","Yemen","",0,0,0,"",0,"",""
25,"Islamic Movement of Kurdistan",1987,0,1,1,"The Islamic Movement of Kurdistan (IMK) is a Kurdish Islamist political organization that was founded in 1987 by Sheik Uthman Abdul Aziz with significant Iranian help. The group engaged in militant activities in the 1990s against other Kurdish groups and the Iraqi government. In addition to these militant activities, the IMK has also participated in Iraqi Kurdistans political process since 1992. In 2003, the IMK disarmed and began functioning solely as a political party. The majority of the Kurdish Islamist groups in existence today, most notably Ansar al-Islam, are splinters of the IMK.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-movement-kurdistan","The Islamic Movement of Kurdistan (IMK) is a Kurdish Islamist political organization that was founded in 1987 by Sheik Uthman Abdul Aziz with significant Iranian help. The group engaged in militant activities in the 1990s against other Kurdish groups and the Iraqi government. In addition to these militant activities, the IMK has also participated in Iraqi Kurdistan¬ís political process since 1992. In 2003, the IMK disarmed and began functioning solely as a political party. The majority of the Kurdish Islamist groups in existence today, most notably Ansar al-Islam, are splinters of the IMK.","03/00/2019","00/00/1998","00/00/1998","500","1992","200",2003,"400",1998,"Halabjah","","Iraq","",0,0,0,"",1,"Iran, Saudia Arabia, United States",""
