,lat,long
Iraq,32.15494156,39.19674301
Yemen,14.03749943,48.68638992
Afghanistan,35.6072464,61.27655792
Somalia,4.176146507,42.07388306
Algeria,30.18046951,-5.152134895
Pakistan,29.47369766,63.23043823
Morocco,31.72610664,-3.386113644
Philippines,14.599512,120.984222
Indonesia,-8.409518,115.188919
Egypt,29.78835678,32.64902496
Syria,33.25171661,35.6696167
Nigeria,7.296663284,11.79943943
Mali,12.05481052,-9.865219116
Russia,81.6877594,58.06137848
Germany,49.16877747,7.36901474
United States,58.64582825,-134.9750061
Sweden,59.21753693,11.76954746
Ukraine,46.52267456,31.85252762
United Kingdom,60.67333221,-0.835000038
Estonia,57.5356369,27.37205887
