link_id,type,group1_id,group2_id,description,group1_name,group2_name,year,multiple,map_name
1633,riv,61,113,"Hizbul Islam fighters attacked the Somali border town of Dhobley, successfully ousting Al Shabaab fighters and gaining control of the town. ",Al Shabaab,Hizbul Islam ,2010,0,Somalia
1635,all,61,113,"Hizbul Islam and Al Shabaab conducted a joint attack on African Union (AU) peacekeepers, using two suicide bombers against an AU base in Mogadishu.",Al Shabaab,Hizbul Islam ,2009,0,Somalia
1475,all,5,3,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005.",Islamic Army in Iraq,Mujahideen Army,2005,1,Global Al Qaeda
1431,all,5,3,"The Islamic Army of Iraq claimed that it and the Mujahideen Army coordinated an attack on government forces near Al-Karma on February 22, 2014.  ",Islamic Army in Iraq,Mujahideen Army,2014,1,Global Al Qaeda
1475,all,5,3,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005.",Islamic Army in Iraq,Mujahideen Army,2005,1,Iraq
1431,all,5,3,"The Islamic Army of Iraq claimed that it and the Mujahideen Army coordinated an attack on government forces near Al-Karma on February 22, 2014.  ",Islamic Army in Iraq,Mujahideen Army,2014,1,Iraq
1311,all,75,1,"Despite their ideological differences, the JRTN and IS worked together to capture Fallujah in February 2014. Subsequently, the JRTN played a critical role in IS's conquest of Mosul on June 10, 2014. ",Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,The Islamic State,2014,0,Iraq
1385,all,75,1,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.",Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,The Islamic State,2009,0,Iraq
1319,riv,75,1,"By early 2015, IS and the JRTN's  ""alliance of convenience"" against the Iraqi government had disintegrated and a the two groups began to clash militarily in Northern Iraq.  Later in the spring of 2015, JRTN leadership released a series of statements condemning IS.",Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,The Islamic State,2015,0,Iraq
1483,riv,13,1,AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.,Ansar al-Islam,The Islamic State,2014,1,Global Islamic State
1481,all,13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ",Ansar al-Islam,The Islamic State,2012,1,Global Islamic State
1485,mer,13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.",Ansar al-Islam,The Islamic State,2014,1,Global Islamic State
1377,riv,13,1,Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.,Ansar al-Islam,The Islamic State,2013,1,Global Islamic State
1483,riv,13,1,AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.,Ansar al-Islam,The Islamic State,2014,1,Iraq
1481,all,13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ",Ansar al-Islam,The Islamic State,2012,1,Iraq
1485,mer,13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.",Ansar al-Islam,The Islamic State,2014,1,Iraq
1377,riv,13,1,Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.,Ansar al-Islam,The Islamic State,2013,1,Iraq
1483,riv,13,1,AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.,Ansar al-Islam,The Islamic State,2014,1,Global Al Qaeda
1481,all,13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ",Ansar al-Islam,The Islamic State,2012,1,Global Al Qaeda
1485,mer,13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.",Ansar al-Islam,The Islamic State,2014,1,Global Al Qaeda
1377,riv,13,1,Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.,Ansar al-Islam,The Islamic State,2013,1,Global Al Qaeda
287,riv,1,9,"In 2007 1920s RB leader Harith al-Dari was killed in a AQI suicide bombing and AQI carried out a large-scale chemical weapons attack in Fallujah.  Outraged by these events, the 1920s Brigades shifted its focus from fighting U.S. forces to fighting AQI. ",The Islamic State,1920s Revolution Brigades,2007,0,Iraq
289,mer,23,19,"Al-Qaeda in Yemen merged with Al Qaeda-affiliated Saudi militants. In February 22, 2009 al-Qaeda's deputy leader Ayman al-Zawahiri released a statement recognizing the consolidation.",Al Qaeda in Yemen,Al Qaeda in the Arabian Peninsula,2009,0,Global Al Qaeda
1471,all,361,143,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government.",Kata'ib Hezbollah,Asa'ib Ahl al-Haq,2007,1,Iraq
1685,all,361,143,"Kata'ib Hezbollah, Harakat al-Nujaba, Asai'ib Ahl al-Haqq, the Mahdi Army, the Badr Organization, Kata'ib Sayyid al-Shuhada, Kata'ib Imam Ali and other predominantly Shiite paramilitaries cooperated with one another as well as with the Iraqi Army to retake Tikrit from the Islamic State in the so called ""Second Battle of Tikrit.""",Kata'ib Hezbollah,Asa'ib Ahl al-Haq,2015,1,Iraq
1471,all,361,143,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government.",Kata'ib Hezbollah,Asa'ib Ahl al-Haq,2007,1,Syria
1685,all,361,143,"Kata'ib Hezbollah, Harakat al-Nujaba, Asai'ib Ahl al-Haqq, the Mahdi Army, the Badr Organization, Kata'ib Sayyid al-Shuhada, Kata'ib Imam Ali and other predominantly Shiite paramilitaries cooperated with one another as well as with the Iraqi Army to retake Tikrit from the Islamic State in the so called ""Second Battle of Tikrit.""",Kata'ib Hezbollah,Asa'ib Ahl al-Haq,2015,1,Syria
1439,all,5,1,The IAI fought with IS to take Mosul in June 2014.,Islamic Army in Iraq,The Islamic State,2014,1,Global Al Qaeda
1439,all,5,1,The IAI fought with IS to take Mosul in June 2014.,Islamic Army in Iraq,The Islamic State,2014,1,Iraq
1441,riv,75,143,Asa'ib Ahl al-Haq claimed responsibility for killing JRTN leader Izzat Ibrihim al-Douri in the mountains in between Kirkuk and Tikrit.,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,Asa'ib Ahl al-Haq,2015,0,Iraq
1639,riv,99,109,"ASWJ formed in response to AIAI and other anti-Sufi militant groups. Initially, ASWJ relied on non-violent tactics such as preaching and community organizing to oppose groups like AIAI. Later, ASWJ took up arms against those organizations.",Al Ittihad Al Islamiya,Ahlu Sunna Wal Jama,1991,0,Somalia
303,all,1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.",The Islamic State,Ansar al-Islam,2003,1,Iraq
303,all,1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.",The Islamic State,Ansar al-Islam,2003,1,Global Islamic State
303,all,1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.",The Islamic State,Ansar al-Islam,2003,1,Global Al Qaeda
41,spl,13,11,"Several members of Ansar al-Sunna split from the main group to align with the Islamic Army of Iraq and Mujahideen Army, both groups with that advocate a nationalist-jihadist agenda.",Ansar al-Islam,Ansar al-Sunna Shariah,2007,0,Iraq
309,spl,9,29,"Following the assassination of 1920s RB leader Harith al-Dari by AQI operatives in early March 2007, two factions arose within the 1920s RB that differed in their visions for the organization's relations with AQI.  While one faction wanted to directly confront AQI, the other preferred to continue armed opposition to the U.S. and take a more rhetorical approach to opposing AQI. This latter faction broke away in late March/early April 2007 and renamed itself Hamas Iraq.",1920s Revolution Brigades,Hamas Iraq,2007,0,Iraq
1351,spl,585,583,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,The Kurdistan Islamic Group,2001,1,Kurdish Conflict
1351,spl,585,583,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,The Kurdistan Islamic Group,2001,1,Iraq
1353,mer,31,593,The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.,Second Soran Unit,Jund al-Islam,2001,1,Iraq
1353,mer,31,593,The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.,Second Soran Unit,Jund al-Islam,2001,1,Kurdish Conflict
311,riv,1,29,Hamas Iraq allegedly worked with U.S. forces and the U.S.-funded Sons of Iraq in their 2007-2008 offensive against AQI in the Diyala province.,The Islamic State,Hamas Iraq,2007,0,Iraq
293,aff,21,19,The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.,Al Qaeda,Al Qaeda in the Arabian Peninsula,2009,1,Global Islamic State
293,aff,21,19,The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.,Al Qaeda,Al Qaeda in the Arabian Peninsula,2009,1,Global Al Qaeda
297,all,1,23,AQY-associated militants traveled to Iraq to assist AQI in its fight against the U.S.-coalition forces. ,The Islamic State,Al Qaeda in Yemen,2003,0,Global Al Qaeda
1851,riv,651,533,"Faylaq al-Rahman began fighting Jaysh al-Islam after Jaysh al-Islam allegedly attempted to assassinate a member of the Unified Judiciary Council, the court system that settles disputes between militant groups and between civilians in the Damascus governorate.",Faylaq al-Rahman,Jaysh al-Islam,2016,0,Syria
1339,spl,585,577,,The Islamic Unity Movement of Kurdistan,The Reformist Group,2001,0,Iraq
1335,spl,585,577,,The Islamic Unity Movement of Kurdistan,The Reformist Group,2001,0,Iraq
1337,spl,585,577,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,The Reformist Group,2001,0,Iraq
1341,spl,585,573,,The Islamic Unity Movement of Kurdistan,Kurdish Hamas,2001,1,Kurdish Conflict
1343,spl,585,573,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,Kurdish Hamas,2001,1,Kurdish Conflict
1341,spl,585,573,,The Islamic Unity Movement of Kurdistan,Kurdish Hamas,2001,1,Iraq
