URL,Domain,Anchor
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/abu-sayyaf-group,cisac.fsi.stanford.edu,Abu Sayyaf Group
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/afghan-taliban,cisac.fsi.stanford.edu,Afghan Taliban
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ahlu-sunna-wal-jama,cisac.fsi.stanford.edu,Ahlu Sunna Wal Jama
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ahrar-al-sham,cisac.fsi.stanford.edu,Ahrar al-Sham
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-akhtar-trust,cisac.fsi.stanford.edu,Al Akhtar Trust
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-ittihad-al-islamiya,cisac.fsi.stanford.edu,Al Ittihad Al Islamiya
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-mourabitoun,cisac.fsi.stanford.edu,Al Mourabitoun
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-mulathamun-battalion,cisac.fsi.stanford.edu,Al Mulathamun Battalion
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda,cisac.fsi.stanford.edu,Al Qaeda
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-arabian-peninsula,cisac.fsi.stanford.edu,Al Qaeda in the Arabian Peninsula
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-indian-subcontinent-aqis,cisac.fsi.stanford.edu,Al Qaeda in the Indian Subcontinent (AQIS)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/aqim,cisac.fsi.stanford.edu,Al Qaeda in the Islamic Maghreb
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-yemen,cisac.fsi.stanford.edu,Al Qaeda in Yemen
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-shabaab,cisac.fsi.stanford.edu,Al Shabaab
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-kurdish-battalions,cisac.fsi.stanford.edu,Al-Qaeda Kurdish Battalions
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-tawhid-islamic-front,cisac.fsi.stanford.edu,Al-Tawhid Islamic Front
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ambazonia-defense-forces,cisac.fsi.stanford.edu,Ambazonia Defense Forces
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-islam,cisac.fsi.stanford.edu,Ansar al-Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-shariah-libya,cisac.fsi.stanford.edu,Ansar al-Shariah (Libya)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-shariah-tunisia,cisac.fsi.stanford.edu,Ansar al-Shariah (Tunisia)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-dine,cisac.fsi.stanford.edu,Ansar Dine
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansaroul-islam,cisac.fsi.stanford.edu,Ansaroul Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/april-19-movement,cisac.fsi.stanford.edu,April 19 Movement
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/aqim,cisac.fsi.stanford.edu,AQIM
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-proletarian-nuclei,cisac.fsi.stanford.edu,Armed Proletarian Nuclei
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-revolutionary-nuclei,cisac.fsi.stanford.edu,Armed Revolutionary Nuclei
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/asaib-ahl-al-haq,cisac.fsi.stanford.edu,Asa'ib Ahl al-Haq
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/asian-tigers,cisac.fsi.stanford.edu,Asian Tigers
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/atomwaffen-division,cisac.fsi.stanford.edu,Atomwaffen Division
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/azov-battalion,cisac.fsi.stanford.edu,Azov Battalion
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/badr-organization-reconstruction-and-development,cisac.fsi.stanford.edu,Badr Organization of Reconstruction and Development
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/balochistan-liberation-army,cisac.fsi.stanford.edu,Balochistan Liberation Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/bandas-criminales,cisac.fsi.stanford.edu,Bandas Criminales
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/bangsomoro-islamic-freedom-fighters,cisac.fsi.stanford.edu,Bangsamoro Islamic Freedom Fighters
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/the-base,cisac.fsi.stanford.edu,The Base
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/boko-haram,cisac.fsi.stanford.edu,Boko Haram
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/caucasus-emirate,cisac.fsi.stanford.edu,Caucasus Emirate
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/chechen-republic-ichkeria,cisac.fsi.stanford.edu,Chechen Republic of Ichkeria
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/communist-party-philippines-new-peoples-army,cisac.fsi.stanford.edu,Communist Party of the Philippines - New People's Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/eelam-revoultionary-oragnization-students,cisac.fsi.stanford.edu,Eelam Revolutionary Organization of Students
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/egyptian-islamic-jihad,cisac.fsi.stanford.edu,Egyptian Islamic Jihad
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/groupe-islamique-arme,cisac.fsi.stanford.edu,Groupe Islamique Arme
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hamas-iraq,cisac.fsi.stanford.edu,Hamas Iraq
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/haqqani-network,cisac.fsi.stanford.edu,Haqqani Network
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/harakat-ul-mujahedeen,cisac.fsi.stanford.edu,Harakat-ul-Mujahedeen
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/harkat-ul-jihadi-al-islami,cisac.fsi.stanford.edu,Harkat-ul-Jihadi al-Islami
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hay’-tahrir-al-sham,cisac.fsi.stanford.edu,Hay'at Tahrir al-Sham (Formerly Jabhat al-Nusra)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hezbollah,cisac.fsi.stanford.edu,Hezbollah
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hizbul-islam,cisac.fsi.stanford.edu,Hizbul Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-army-iraq,cisac.fsi.stanford.edu,Islamic Army in Iraq
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-courts-union,cisac.fsi.stanford.edu,Islamic Courts Union
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-international-peacekeeping-brigade,cisac.fsi.stanford.edu,Islamic International Peacekeeping Brigade
https://cisac.fsi.stanford.edu/mappingmilitants/content/mmp-islamic-movement-kurdistan-0,cisac.fsi.stanford.edu,Islamic Movement of Kurdistan
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-movement-uzbekistan,cisac.fsi.stanford.edu,Islamic Movement of Uzbekistan
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state,cisac.fsi.stanford.edu,Islamic State
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state-sinai-province,cisac.fsi.stanford.edu,Islamic State – Sinai Province
