"","link_id","type","group1_id","group2_id","description","group1_name","group2_name","year","multiple","map_name","primary"
"1",1633,"Rivals",61,113,"Hizbul Islam fighters attacked the Somali border town of Dhobley, successfully ousting Al Shabaab fighters and gaining control of the town. ","Al Shabaab","Hizbul Islam ",2010,0,"Somalia","Somalia"
"2",1635,"Allies",61,113,"Hizbul Islam and Al Shabaab conducted a joint attack on African Union (AU) peacekeepers, using two suicide bombers against an AU base in Mogadishu.","Al Shabaab","Hizbul Islam ",2009,0,"Somalia","Somalia"
"3",1475,"Allies",5,3,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005.","Islamic Army in Iraq","Mujahideen Army",2005,1,"Global Al Qaeda","Iraq"
"4",1431,"Allies",5,3,"The Islamic Army of Iraq claimed that it and the Mujahideen Army coordinated an attack on government forces near Al-Karma on February 22, 2014.  ","Islamic Army in Iraq","Mujahideen Army",2014,1,"Global Al Qaeda","Iraq"
"5",1475,"Allies",5,3,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005.","Islamic Army in Iraq","Mujahideen Army",2005,1,"Iraq","Iraq"
"6",1431,"Allies",5,3,"The Islamic Army of Iraq claimed that it and the Mujahideen Army coordinated an attack on government forces near Al-Karma on February 22, 2014.  ","Islamic Army in Iraq","Mujahideen Army",2014,1,"Iraq","Iraq"
"7",1311,"Allies",75,1,"Despite their ideological differences, the JRTN and IS worked together to capture Fallujah in February 2014. Subsequently, the JRTN played a critical role in IS's conquest of Mosul on June 10, 2014. ","Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ","The Islamic State",2014,0,"Iraq","Iraq"
"8",1385,"Allies",75,1,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.","Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ","The Islamic State",2009,0,"Iraq","Iraq"
"9",1319,"Rivals",75,1,"By early 2015, IS and the JRTN's  ""alliance of convenience"" against the Iraqi government had disintegrated and a the two groups began to clash militarily in Northern Iraq.  Later in the spring of 2015, JRTN leadership released a series of statements condemning IS.","Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ","The Islamic State",2015,0,"Iraq","Iraq"
"10",1483,"Rivals",13,1,"AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.","Ansar al-Islam","The Islamic State",2014,1,"Global Islamic State","Iraq"
"11",1481,"Allies",13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ","Ansar al-Islam","The Islamic State",2012,1,"Global Islamic State","Iraq"
"12",1485,"Mergers",13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.","Ansar al-Islam","The Islamic State",2014,1,"Global Islamic State","Iraq"
"13",1377,"Rivals",13,1,"Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.","Ansar al-Islam","The Islamic State",2013,1,"Global Islamic State","Iraq"
"14",1483,"Rivals",13,1,"AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.","Ansar al-Islam","The Islamic State",2014,1,"Iraq","Iraq"
"15",1481,"Allies",13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ","Ansar al-Islam","The Islamic State",2012,1,"Iraq","Iraq"
"16",1485,"Mergers",13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.","Ansar al-Islam","The Islamic State",2014,1,"Iraq","Iraq"
"17",1377,"Rivals",13,1,"Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.","Ansar al-Islam","The Islamic State",2013,1,"Iraq","Iraq"
"18",1483,"Rivals",13,1,"AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.","Ansar al-Islam","The Islamic State",2014,1,"Global Al Qaeda","Iraq"
"19",1481,"Allies",13,1,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ","Ansar al-Islam","The Islamic State",2012,1,"Global Al Qaeda","Iraq"
"20",1485,"Mergers",13,1,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.","Ansar al-Islam","The Islamic State",2014,1,"Global Al Qaeda","Iraq"
"21",1377,"Rivals",13,1,"Ansar al-Islam released a statement detailing its past failed peace negotiations with IS and announced that its fighters would strike back against IS forces.  Tensions had existed between the groups for some time.","Ansar al-Islam","The Islamic State",2013,1,"Global Al Qaeda","Iraq"
"22",287,"Rivals",1,9,"In 2007 1920s RB leader Harith al-Dari was killed in a AQI suicide bombing and AQI carried out a large-scale chemical weapons attack in Fallujah.  Outraged by these events, the 1920s Brigades shifted its focus from fighting U.S. forces to fighting AQI. ","The Islamic State","1920s Revolution Brigades",2007,0,"Iraq","Iraq"
"23",289,"Mergers",23,19,"Al-Qaeda in Yemen merged with Al Qaeda-affiliated Saudi militants. In February 22, 2009 al-Qaeda's deputy leader Ayman al-Zawahiri released a statement recognizing the consolidation.","Al Qaeda in Yemen","Al Qaeda in the Arabian Peninsula",2009,0,"Global Al Qaeda","Global Al Qaeda"
"24",1471,"Allies",361,143,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government.","Kata'ib Hezbollah","Asa'ib Ahl al-Haq",2007,1,"Iraq","Iraq"
"25",1685,"Allies",361,143,"Kata'ib Hezbollah, Harakat al-Nujaba, Asai'ib Ahl al-Haqq, the Mahdi Army, the Badr Organization, Kata'ib Sayyid al-Shuhada, Kata'ib Imam Ali and other predominantly Shiite paramilitaries cooperated with one another as well as with the Iraqi Army to retake Tikrit from the Islamic State in the so called ""Second Battle of Tikrit.""","Kata'ib Hezbollah","Asa'ib Ahl al-Haq",2015,1,"Iraq","Iraq"
"26",1471,"Allies",361,143,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government.","Kata'ib Hezbollah","Asa'ib Ahl al-Haq",2007,1,"Syria","Iraq"
"27",1685,"Allies",361,143,"Kata'ib Hezbollah, Harakat al-Nujaba, Asai'ib Ahl al-Haqq, the Mahdi Army, the Badr Organization, Kata'ib Sayyid al-Shuhada, Kata'ib Imam Ali and other predominantly Shiite paramilitaries cooperated with one another as well as with the Iraqi Army to retake Tikrit from the Islamic State in the so called ""Second Battle of Tikrit.""","Kata'ib Hezbollah","Asa'ib Ahl al-Haq",2015,1,"Syria","Iraq"
"28",1439,"Allies",5,1,"The IAI fought with IS to take Mosul in June 2014.","Islamic Army in Iraq","The Islamic State",2014,1,"Global Al Qaeda","Iraq"
"29",1439,"Allies",5,1,"The IAI fought with IS to take Mosul in June 2014.","Islamic Army in Iraq","The Islamic State",2014,1,"Iraq","Iraq"
"30",1441,"Rivals",75,143,"Asa'ib Ahl al-Haq claimed responsibility for killing JRTN leader Izzat Ibrihim al-Douri in the mountains in between Kirkuk and Tikrit.","Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ","Asa'ib Ahl al-Haq",2015,0,"Iraq","Iraq"
"31",1639,"Rivals",99,109,"ASWJ formed in response to AIAI and other anti-Sufi militant groups. Initially, ASWJ relied on non-violent tactics such as preaching and community organizing to oppose groups like AIAI. Later, ASWJ took up arms against those organizations.","Al Ittihad Al Islamiya","Ahlu Sunna Wal Jama",1991,0,"Somalia","Somalia"
"32",303,"Allies",1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.","The Islamic State","Ansar al-Islam",2003,1,"Iraq","Iraq"
"33",303,"Allies",1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.","The Islamic State","Ansar al-Islam",2003,1,"Global Islamic State","Iraq"
"34",303,"Allies",1,13,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.","The Islamic State","Ansar al-Islam",2003,1,"Global Al Qaeda","Iraq"
"35",41,"Splinters",13,11,"Several members of Ansar al-Sunna split from the main group to align with the Islamic Army of Iraq and Mujahideen Army, both groups with that advocate a nationalist-jihadist agenda.","Ansar al-Islam","Ansar al-Sunna Shariah",2007,0,"Iraq","Iraq"
"36",309,"Splinters",9,29,"Following the assassination of 1920s RB leader Harith al-Dari by AQI operatives in early March 2007, two factions arose within the 1920s RB that differed in their visions for the organization's relations with AQI.  While one faction wanted to directly confront AQI, the other preferred to continue armed opposition to the U.S. and take a more rhetorical approach to opposing AQI. This latter faction broke away in late March/early April 2007 and renamed itself Hamas Iraq.","1920s Revolution Brigades","Hamas Iraq",2007,0,"Iraq","Iraq"
